degree,school,year,where,gpa
Master of Science - Ecology and Evolutionary Biology,University of Arizona,Spring 2021 (expected),"Tucson, AZ",4.00
"Bachelor of Science – Biology: Environmental Science Concentration, minor: Statistics",University of Wisconsin - La Crosse,2017,"La Crosse, WI",3.79
